ymd,area_1,area_2,天気概況（昼：06時～18時）品質情報,天気概況（昼：06時～18時）均質番号,天気概況（昼：06時～18時）計測値,平均気温（℃）品質情報,平均気温（℃）均質番号,平均気温（℃）計測値,最低気温（℃）品質情報,最低気温（℃）均質番号,最低気温（℃）計測値,最深積雪（cm）品質情報,最深積雪（cm）均質番号,最深積雪（cm）現象なし情報,最深積雪（cm）計測値,最高気温（℃）品質情報,最高気温（℃）均質番号,最高気温（℃）計測値,降水量の合計（mm）品質情報,降水量の合計（mm）均質番号,降水量の合計（mm）現象なし情報,降水量の合計（mm）計測値
2021/1/15,熊本,南阿蘇,0,1,,8,1,5.1,8,1,-2.6,8,1,,0,8,1,14.5,8,1,,0.0
2021/1/15,沖縄,那覇,8,1,晴一時曇,8,1,19.1,8,1,16.1,8,1,1,0,8,1,22.7,8,1,0,0.0
2021/1/15,東京,東京,8,1,曇,8,1,6.6,8,1,4.9,8,1,1,0,8,1,7.6,8,1,0,0.0
2021/1/16,石狩,札幌,8,1,晴一時雨後雪,8,1,0.4,8,1,-6.1,8,1,0,41,8,1,5.9,8,1,0,11.5
2021/1/16,大阪,大阪,8,1,曇時々雨一時晴,8,1,8.6,8,1,5.7,8,1,1,0,8,1,12.6,8,1,0,0.5
2021/1/16,熊本,南阿蘇,0,1,,8,1,8.0,8,1,3.7,8,1,,0,8,1,12.5,8,1,,3.0
2021/1/16,沖縄,那覇,8,1,晴後曇一時雨,8,1,18.5,8,1,16.0,8,1,1,0,8,1,23.3,8,1,0,4.5
2021/1/16,東京,東京,8,1,晴,8,1,10.0,8,1,4.3,8,1,1,0,8,1,18.7,8,1,1,0
2021/1/17,石狩,札幌,8,1,曇時々晴後一時雪,8,1,-5.6,8,1,-7.4,8,1,0,42,8,1,-3.8,8,1,0,4.0
2021/1/17,大阪,大阪,8,1,曇一時晴,8,1,6.8,8,1,3.8,8,1,1,0,8,1,9.4,8,1,0,0.0
2021/1/17,熊本,南阿蘇,0,1,,8,1,1.7,8,1,-3.8,8,1,,0,8,1,4.5,8,1,,0.0
2021/1/17,沖縄,那覇,8,1,曇時々雨,8,1,15.3,8,1,14.5,8,1,1,0,8,1,16.1,8,1,0,4.0
2021/1/17,東京,東京,8,1,曇,8,1,6.1,8,1,4.1,8,1,1,0,8,1,8.0,8,1,1,0
2021/1/18,石狩,札幌,8,1,曇時々雪,8,1,-5.5,8,1,-8.4,8,1,0,42,8,1,-2.8,8,1,0,1.0
2021/1/18,大阪,大阪,8,1,晴,8,1,4.6,8,1,0.2,8,1,1,0,8,1,7.6,8,1,0,0.0
2021/1/18,熊本,南阿蘇,0,1,,8,1,1.7,8,1,-5.0,8,1,,0,8,1,5.9,8,1,,0.0
2021/1/18,沖縄,那覇,8,1,曇後晴,8,1,14.9,8,1,13.3,8,1,1,0,8,1,16.7,8,1,0,0.0
2021/1/18,東京,東京,8,1,曇後晴,8,1,4.3,8,1,1.0,8,1,1,0,8,1,8.6,8,1,1,0
2021/1/19,石狩,札幌,8,1,雪、雷を伴う,8,1,-7.2,8,1,-9.0,8,1,0,55,8,1,-5.9,8,1,0,11.0
2021/1/19,大阪,大阪,8,1,晴一時曇,8,1,4.1,8,1,2.3,8,1,1,0,8,1,6.3,8,1,0,0.0
2021/1/19,熊本,南阿蘇,0,1,,8,1,2.9,8,1,-2.8,8,1,,0,8,1,8.7,8,1,,0.0
2021/1/19,沖縄,那覇,8,1,晴一時曇,8,1,15.6,8,1,12.6,8,1,1,0,8,1,18.9,8,1,1,0
2021/1/19,東京,東京,8,1,快晴,8,1,4.4,8,1,1.0,8,1,1,0,8,1,9.5,8,1,1,0
2021/1/20,石狩,札幌,8,1,晴後一時曇,8,1,-5.9,8,1,-9.9,8,1,0,52,8,1,-3.9,8,1,0,0.0
2021/1/20,大阪,大阪,8,1,晴一時曇,8,1,4.7,8,1,2.1,8,1,1,0,8,1,8.6,8,1,1,0
2021/1/20,熊本,南阿蘇,0,1,,8,1,1.9,8,1,-5.7,8,1,,0,8,1,12.2,8,1,,0.0
2021/1/20,沖縄,那覇,8,1,晴時々曇,8,1,19.1,8,1,15.9,8,1,1,0,8,1,21.9,8,1,0,0.0
2021/1/20,東京,東京,8,1,快晴,8,1,3.9,8,1,0.2,8,1,1,0,8,1,9.5,8,1,1,0
2021/1/21,石狩,札幌,8,1,曇時々雪後晴,8,1,-0.7,8,1,-5.1,8,1,0,46,8,1,3.8,8,1,0,0.5
2021/1/21,大阪,大阪,8,1,快晴,8,1,7.2,8,1,1.2,8,1,1,0,8,1,14.1,8,1,1,0
2021/1/21,熊本,南阿蘇,0,1,,8,1,6.7,8,1,-3.2,8,1,,0,8,1,15.5,8,1,,0.0
2021/1/21,沖縄,那覇,8,1,曇時々雨,8,1,20.9,8,1,19.2,8,1,1,0,8,1,23.0,8,1,0,0.5
2021/1/21,東京,東京,8,1,晴,8,1,4.8,8,1,-0.3,8,1,1,0,8,1,10.7,8,1,1,0
2021/1/22,石狩,札幌,8,1,曇時々雪一時晴,8,1,-1.1,8,1,-3.7,8,1,0,43,8,1,2.2,8,1,0,0.0
2021/1/22,大阪,大阪,8,1,雨,8,1,8.5,8,1,7.3,8,1,1,0,8,1,9.7,8,1,0,7.0
2021/1/22,熊本,南阿蘇,0,1,,8,1,13.8,8,1,9.4,8,1,,0,8,1,18.8,8,1,,0.0
2021/1/22,沖縄,那覇,8,1,雨,8,1,20.4,8,1,18.7,8,1,1,0,8,1,21.9,8,1,0,27.5
2021/1/22,東京,東京,8,1,晴後一時曇,8,1,8.7,8,1,1.2,8,1,1,0,8,1,16.0,8,1,1,0
2021/1/23,石狩,札幌,8,1,雪,8,1,-4.6,8,1,-8.8,8,1,0,57,8,1,-2.8,8,1,0,4.0
2021/1/23,大阪,大阪,8,1,雨,8,1,8.6,8,1,7.2,8,1,1,0,8,1,9.8,8,1,0,26.5
2021/1/23,熊本,南阿蘇,0,1,,8,1,10.6,8,1,8.5,8,1,,0,8,1,12.8,8,1,,13.5
2021/1/23,沖縄,那覇,8,1,雨後曇一時晴,8,1,21.3,8,1,19.5,8,1,1,0,8,1,23.3,8,1,0,38.0
2021/1/23,東京,東京,8,1,雨一時曇,8,1,6.4,8,1,2.7,8,1,1,0,8,1,10.2,8,1,0,19.0
2021/1/24,石狩,札幌,8,1,快晴,8,1,-6.2,8,1,-10.9,8,1,0,54,8,1,-0.2,8,1,1,0
2021/1/24,大阪,大阪,8,1,雨,8,1,8.3,8,1,7.2,8,1,1,0,8,1,9.5,8,1,0,12.0
2021/1/24,熊本,南阿蘇,0,1,,8,1,8.0,8,1,5.1,8,1,,0,8,1,10.4,8,1,,7.0
2021/1/24,沖縄,那覇,8,1,晴一時曇,8,1,19.0,8,1,16.6,8,1,1,0,8,1,20.8,8,1,0,0.0
2021/1/24,東京,東京,8,1,雨時々曇,8,1,4.3,8,1,2.3,8,1,1,0,8,1,6.5,8,1,0,13.0
2021/1/25,石狩,札幌,8,1,晴後曇,8,1,-1.6,8,1,-7.6,8,1,0,47,8,1,4.4,8,1,0,0.0
2021/1/25,大阪,大阪,8,1,晴後時々薄曇,8,1,10.1,8,1,7.3,8,1,1,0,8,1,14.6,8,1,0,0.0
2021/1/25,熊本,南阿蘇,0,1,,8,1,7.1,8,1,-0.9,8,1,,0,8,1,15.0,8,1,,0.0
2021/1/25,沖縄,那覇,8,1,晴一時曇,8,1,19.4,8,1,15.9,8,1,1,0,8,1,23.3,8,1,0,0.0
2021/1/25,東京,東京,8,1,薄曇一時晴,8,1,7.6,8,1,3.8,8,1,1,0,8,1,13.2,8,1,0,1.5
2021/1/26,石狩,札幌,8,1,薄曇一時晴,8,1,-2.2,8,1,-7.9,8,1,0,41,8,1,1.9,8,1,0,0.5
2021/1/26,大阪,大阪,8,1,薄曇後一時雨,8,1,12.1,8,1,6.7,8,1,1,0,8,1,19.0,8,1,0,7.5
2021/1/26,熊本,南阿蘇,0,1,,8,1,12.1,8,1,8.1,8,1,,0,8,1,15.9,8,1,,4.0
2021/1/26,沖縄,那覇,8,1,晴,8,1,19.8,8,1,16.5,8,1,1,0,8,1,23.2,8,1,0,0.0
2021/1/26,東京,東京,8,1,曇一時晴,8,1,7.5,8,1,2.7,8,1,1,0,8,1,11.2,8,1,1,0
2021/1/27,石狩,札幌,8,1,みぞれ一時雨後晴,8,1,1.6,8,1,-2.6,8,1,0,40,8,1,6.2,8,1,0,1.5
2021/1/27,大阪,大阪,8,1,曇後晴,8,1,11.6,8,1,8.2,8,1,1,0,8,1,14.7,8,1,0,6.5
2021/1/27,熊本,南阿蘇,0,1,,8,1,9.2,8,1,1.3,8,1,,0,8,1,13.6,8,1,,1.0
2021/1/27,沖縄,那覇,8,1,曇時々晴,8,1,18.8,8,1,17.5,8,1,1,0,8,1,20.4,8,1,0,0.0
2021/1/27,東京,東京,8,1,曇後一時晴,8,1,10.3,8,1,6.4,8,1,1,0,8,1,16.2,8,1,0,1.0
2021/1/28,石狩,札幌,8,1,晴後薄曇,8,1,-3.2,8,1,-5.1,8,1,0,37,8,1,-1.6,8,1,0,0.0
2021/1/28,大阪,大阪,8,1,薄曇時々晴,8,1,8.6,8,1,5.1,8,1,1,0,8,1,12.7,8,1,0,0.0
2021/1/28,熊本,南阿蘇,0,1,,8,1,4.3,8,1,-1.0,8,1,,0,8,1,10.2,8,1,,0.0
2021/1/28,沖縄,那覇,8,1,曇時々晴,8,1,17.2,8,1,15.3,8,1,1,0,8,1,19.5,8,1,0,0.0
2021/1/28,東京,東京,8,1,曇後雨一時みぞれ,8,1,4.4,8,1,0.9,8,1,1,0,8,1,7.9,8,1,0,9.0
2021/1/29,石狩,札幌,8,1,雪後時々曇,8,1,-1.4,8,1,-4.9,8,1,0,56,8,1,0.6,8,1,0,12.5
2021/1/29,大阪,大阪,8,1,晴,8,1,3.8,8,1,1.4,8,1,1,0,8,1,10.2,8,1,0,0.0
2021/1/29,熊本,南阿蘇,0,1,,8,1,-0.6,8,1,-2.1,8,1,,0,8,1,1.8,8,1,,0.0
2021/1/29,沖縄,那覇,8,1,曇時々晴,8,1,14.1,8,1,13.2,8,1,1,0,8,1,15.7,8,1,0,0.0
2021/1/29,東京,東京,8,1,晴,8,1,5.3,8,1,0.7,8,1,1,0,8,1,10.8,8,1,1,0
2021/1/30,石狩,札幌,8,1,雪後一時晴,8,1,-2.3,8,1,-6.8,8,1,0,55,8,1,-0.1,8,1,0,4.5
2021/1/30,大阪,大阪,8,1,晴,8,1,4.8,8,1,-0.2,8,1,1,0,8,1,9.2,8,1,1,0
2021/1/30,熊本,南阿蘇,0,1,,8,1,-0.1,8,1,-6.1,8,1,,0,8,1,6.4,8,1,,0.0
2021/1/30,沖縄,那覇,8,1,晴,8,1,15.2,8,1,11.6,8,1,1,0,8,1,18.8,8,1,1,0
2021/1/30,東京,東京,8,1,快晴,8,1,4.1,8,1,0.9,8,1,1,0,8,1,9.3,8,1,1,0
2021/1/31,石狩,札幌,8,1,晴一時雪,8,1,-4.4,8,1,-7.3,8,1,0,54,8,1,-0.9,8,1,0,0.0
2021/1/31,大阪,大阪,8,1,晴,8,1,7.7,8,1,4.7,8,1,1,0,8,1,11.8,8,1,0,0.0
2021/1/31,熊本,南阿蘇,0,1,,8,1,3.4,8,1,-2.9,8,1,,0,8,1,12.1,8,1,,0.0
2021/1/31,沖縄,那覇,8,1,晴,8,1,17.3,8,1,13.0,8,1,1,0,8,1,20.6,8,1,1,0
2021/1/31,東京,東京,8,1,快晴,8,1,5.4,8,1,-0.4,8,1,1,0,8,1,11.9,8,1,1,0
2021/2/1,石狩,札幌,8,1,晴後時々雪,8,1,-1.2,8,1,-8.0,8,1,0,51,8,1,3.2,8,1,0,2.0
2021/2/1,大阪,大阪,8,1,曇,8,1,7.9,8,1,2.8,8,1,1,0,8,1,14.6,8,1,0,11.0
2021/2/1,熊本,南阿蘇,0,1,,8,1,9.9,8,1,0.6,8,1,,0,8,1,15.5,8,1,,36.0
2021/2/1,沖縄,那覇,8,1,晴,8,1,19.2,8,1,15.3,8,1,1,0,8,1,23.5,8,1,0,0.0
2021/2/1,東京,東京,8,1,曇時々晴、あられを伴う,8,1,7.2,8,1,1.8,8,1,1,0,8,1,14.0,8,1,0,0.0
2021/2/2,石狩,札幌,8,1,晴時々雪,8,1,-2.7,8,1,-8.9,8,1,0,47,8,1,6.5,8,1,0,1.0
2021/2/2,大阪,大阪,8,1,晴一時曇,8,1,9.5,8,1,4.8,8,1,1,0,8,1,13.7,8,1,0,8.0
2021/2/2,熊本,南阿蘇,0,1,,8,1,5.8,8,1,0.7,8,1,,0,8,1,10.0,8,1,,20.0
2021/2/2,沖縄,那覇,8,1,晴時々雨一時曇,8,1,18.2,8,1,16.0,8,1,1,0,8,1,23.6,8,1,0,2.0
2021/2/2,東京,東京,8,1,晴時々曇一時雨,8,1,8.8,8,1,4.3,8,1,1,0,8,1,15.6,8,1,0,12.0
2021/2/3,石狩,札幌,8,1,雪,8,1,-10.0,8,1,-10.7,8,1,0,47,8,1,-8.4,8,1,0,1.0
2021/2/3,大阪,大阪,8,1,晴,8,1,5.7,8,1,3.9,8,1,1,0,8,1,8.2,8,1,1,0
2021/2/3,熊本,南阿蘇,0,1,,8,1,1.7,8,1,-1.2,8,1,,0,8,1,6.1,8,1,,0.0
2021/2/3,沖縄,那覇,8,1,晴,8,1,16.3,8,1,13.9,8,1,1,0,8,1,19.6,8,1,1,0
2021/2/3,東京,東京,8,1,晴,8,1,6.2,8,1,1.0,8,1,1,0,8,1,11.8,8,1,1,0
2021/2/4,石狩,札幌,8,1,雪後晴一時曇,8,1,-8.2,8,1,-10.8,8,1,0,47,8,1,-5.3,8,1,0,0.5
2021/2/4,大阪,大阪,8,1,晴一時曇,8,1,6.7,8,1,4.1,8,1,1,0,8,1,10.2,8,1,0,0.0
2021/2/4,熊本,南阿蘇,0,1,,8,1,3.4,8,1,-2.5,8,1,,0,8,1,9.2,8,1,,1.0
2021/2/4,沖縄,那覇,8,1,晴,8,1,17.3,8,1,14.0,8,1,1,0,8,1,21.4,8,1,1,0
2021/2/4,東京,東京,8,1,快晴,8,1,7.0,8,1,0.6,8,1,1,0,8,1,12.6,8,1,1,0
2021/2/5,石狩,札幌,8,1,雪,8,1,-6.1,8,1,-8.6,8,1,0,47,8,1,-2.3,8,1,0,1.0
2021/2/5,大阪,大阪,8,1,晴,8,1,7.3,8,1,1.9,8,1,1,0,8,1,11.5,8,1,1,0
2021/2/5,熊本,南阿蘇,0,1,,8,1,2.8,8,1,-4.3,8,1,,0,8,1,9.8,8,1,,0.0
2021/2/5,沖縄,那覇,8,1,晴,8,1,18.1,8,1,14.5,8,1,1,0,8,1,22.6,8,1,1,0
2021/2/5,東京,東京,8,1,晴一時薄曇,8,1,7.1,8,1,1.9,8,1,1,0,8,1,12.4,8,1,1,0
2021/2/6,石狩,札幌,8,1,みぞれ時々雪一時曇,8,1,0.0,8,1,-2.5,8,1,0,47,8,1,1.5,8,1,0,3.0
2021/2/6,大阪,大阪,8,1,快晴,8,1,10.8,8,1,6.6,8,1,1,0,8,1,14.9,8,1,1,0
2021/2/6,熊本,南阿蘇,0,1,,8,1,6.4,8,1,3.5,8,1,,0,8,1,12.2,8,1,,8.0
2021/2/6,沖縄,那覇,8,1,晴,8,1,20.0,8,1,15.8,8,1,1,0,8,1,23.7,8,1,1,0
2021/2/6,東京,東京,8,1,快晴,8,1,8.9,8,1,4.2,8,1,1,0,8,1,15.0,8,1,1,0
2021/2/7,石狩,札幌,8,1,雪時々曇,8,1,-2.6,8,1,-5.6,8,1,0,56,8,1,1.1,8,1,0,6.0
2021/2/7,大阪,大阪,8,1,晴後時々曇,8,1,9.6,8,1,5.3,8,1,1,0,8,1,14.2,8,1,0,0.0
2021/2/7,熊本,南阿蘇,0,1,,8,1,7.9,8,1,3.0,8,1,,0,8,1,13.4,8,1,,0.0
2021/2/7,沖縄,那覇,8,1,晴一時曇,8,1,19.5,8,1,17.1,8,1,1,0,8,1,21.9,8,1,1,0
2021/2/7,東京,東京,8,1,晴後一時曇,8,1,9.9,8,1,4.4,8,1,1,0,8,1,16.3,8,1,0,0.0
2021/2/8,石狩,札幌,8,1,晴後時々雪,8,1,-6.5,8,1,-10.6,8,1,0,61,8,1,-2.9,8,1,0,3.0
2021/2/8,大阪,大阪,8,1,晴時々雨一時曇,8,1,6.8,8,1,3.0,8,1,1,0,8,1,10.8,8,1,0,0.0
2021/2/8,熊本,南阿蘇,0,1,,8,1,5.5,8,1,0.1,8,1,,0,8,1,9.6,8,1,,0.0
2021/2/8,沖縄,那覇,8,1,晴,8,1,18.3,8,1,15.7,8,1,1,0,8,1,21.3,8,1,0,0.0
2021/2/8,東京,東京,8,1,曇時々晴,8,1,6.1,8,1,2.8,8,1,1,0,8,1,11.0,8,1,1,0
2021/2/9,石狩,札幌,8,1,晴時々曇一時雪,8,1,-4.4,8,1,-6.6,8,1,0,55,8,1,-1.6,8,1,0,0.0
2021/2/9,大阪,大阪,8,1,晴後曇,8,1,4.7,8,1,1.4,8,1,1,0,8,1,8.1,8,1,0,0.0
2021/2/9,熊本,南阿蘇,0,1,,8,1,1.7,8,1,-4.3,8,1,,0,8,1,8.8,8,1,,0.0
2021/2/9,沖縄,那覇,8,1,晴時々曇,8,1,17.1,8,1,15.7,8,1,1,0,8,1,20.2,8,1,1,0
2021/2/9,東京,東京,8,1,快晴,8,1,4.7,8,1,0.8,8,1,1,0,8,1,9.6,8,1,1,0
2021/2/10,石狩,札幌,8,1,雪後曇,8,1,-2.4,8,1,-4.2,8,1,0,52,8,1,-1.0,8,1,0,0.5
